avec , hugo_claude_gueux--utf8.txt	734 , 114 , 382 , 114 , 930 , 930 , 938 , 814 , 466 , 574 , 854 , 970 , 738 , 142 , 822 , 390 , 318 , 1050 , 318 , 266 , 674 , 462 , 898 , 802 , 946 , 854 , 1154 , 782 , 462 , 478 , 778 , 90 , 630 , 942 , 126 , 838 , 470 , 838 , 838 , 626 , 862 , 734 , 442 , 626 , 566 , 418 , 442 , 546 , 1118 , 138 , 118 , 566 , 1130 , 766 , 114 , 954
avenir , hugo_claude_gueux--utf8.txt	1158
avertir , hugo_claude_gueux--utf8.txt	458
avertît , hugo_claude_gueux--utf8.txt	594
aveuglément , hugo_claude_gueux--utf8.txt	114
avez , hugo_claude_gueux--utf8.txt	566 , 1098 , 1106 , 1070 , 1070
avezvous , hugo_claude_gueux--utf8.txt	566
avis , dumas_blanche_beaulieu-utf8.txt	193
avoir , dumas_blanche_beaulieu-utf8.txt	136 , 191
avoir , hugo_claude_gueux--utf8.txt	642 , 566 , 574 , 1038
avons , hugo_claude_gueux--utf8.txt	986 , 126 , 218 , 850
ayant , hugo_claude_gueux--utf8.txt	162
ayez , hugo_claude_gueux--utf8.txt	1070
bagne , hugo_claude_gueux--utf8.txt	1070 , 1094 , 1098
bagnes , hugo_claude_gueux--utf8.txt	1130
baigné , hugo_claude_gueux--utf8.txt	770
baisa , hugo_claude_gueux--utf8.txt	822
baissa , hugo_claude_gueux--utf8.txt	370
balafra , hugo_claude_gueux--utf8.txt	766
balance , hugo_claude_gueux--utf8.txt	1154 , 1154
banal , hugo_claude_gueux--utf8.txt	674
banc , hugo_claude_gueux--utf8.txt	290 , 558 , 646
bancs , hugo_claude_gueux--utf8.txt	1042 , 642
bandages , hugo_claude_gueux--utf8.txt	778
banlieue , hugo_claude_gueux--utf8.txt	1034
barbare , hugo_claude_gueux--utf8.txt	1094
barreaux , hugo_claude_gueux--utf8.txt	466
barreauxci , hugo_claude_gueux--utf8.txt	470
barreront , hugo_claude_gueux--utf8.txt	1018
barrière , hugo_claude_gueux--utf8.txt	1050
barère , dumas_blanche_beaulieu-utf8.txt	134 , 117
basse , dumas_blanche_beaulieu-utf8.txt	60
basse , hugo_claude_gueux--utf8.txt	430
bastille , hugo_claude_gueux--utf8.txt	94
bataille , dumas_blanche_beaulieu-utf8.txt	80
battent , dumas_blanche_beaulieu-utf8.txt	256 , 82
battre , dumas_blanche_beaulieu-utf8.txt	350
bayonnettes , hugo_claude_gueux--utf8.txt	806
baïonnettes , dumas_blanche_beaulieu-utf8.txt	73
beau , dumas_blanche_beaulieu-utf8.txt	78
beaucoup , hugo_claude_gueux--utf8.txt	942 , 226 , 246 , 114 , 778
beaulieu , dumas_blanche_beaulieu-utf8.txt	2
beffroi , hugo_claude_gueux--utf8.txt	970
belgique , hugo_claude_gueux--utf8.txt	1126
belle , dumas_blanche_beaulieu-utf8.txt	78
belle , hugo_claude_gueux--utf8.txt	106 , 1058
besogne , hugo_claude_gueux--utf8.txt	126
besoin , dumas_blanche_beaulieu-utf8.txt	250
besoin , hugo_claude_gueux--utf8.txt	1186 , 310
bestial , hugo_claude_gueux--utf8.txt	1130
bible , hugo_claude_gueux--utf8.txt	1174
bibliothèque , dumas_blanche_beaulieu-utf8.txt	6 , 11
bien , dumas_blanche_beaulieu-utf8.txt	226 , 90 , 253
bien , hugo_claude_gueux--utf8.txt	922 , 478 , 1002 , 886 , 462 , 106 , 73 , 734 , 1178 , 110 , 450 , 126 , 838 , 838 , 1138 , 734 , 994 , 378 , 994 , 994 , 854 , 1002 , 1034 , 1018 , 594 , 90 , 574 , 398
bientôt , dumas_blanche_beaulieu-utf8.txt	134
bientôt , hugo_claude_gueux--utf8.txt	454 , 1022
bienveillant , hugo_claude_gueux--utf8.txt	846 , 658
bienvenu , dumas_blanche_beaulieu-utf8.txt	246
bijoux , dumas_blanche_beaulieu-utf8.txt	278
billaudvarennes , dumas_blanche_beaulieu-utf8.txt	121 , 128
blanc , hugo_claude_gueux--utf8.txt	162 , 462
blanche , dumas_blanche_beaulieu-utf8.txt	2
blanchi , hugo_claude_gueux--utf8.txt	466
blancs , hugo_claude_gueux--utf8.txt	1058
blessures , hugo_claude_gueux--utf8.txt	782 , 794
blâme , hugo_claude_gueux--utf8.txt	102
boire , dumas_blanche_beaulieu-utf8.txt	349
bois , hugo_claude_gueux--utf8.txt	462 , 114
boiteuse , hugo_claude_gueux--utf8.txt	1110
bon , dumas_blanche_beaulieu-utf8.txt	298
bon , hugo_claude_gueux--utf8.txt	114 , 114 , 586 , 114 , 114 , 1030 , 734 , 454 , 126 , 442
bond , dumas_blanche_beaulieu-utf8.txt	31 , 31
bondissant , dumas_blanche_beaulieu-utf8.txt	323
bonheur , hugo_claude_gueux--utf8.txt	1158
bonne , hugo_claude_gueux--utf8.txt	126 , 802 , 1134
bonnes , dumas_blanche_beaulieu-utf8.txt	283
bonnes , hugo_claude_gueux--utf8.txt	778
bonnet , hugo_claude_gueux--utf8.txt	290 , 290
boulet , hugo_claude_gueux--utf8.txt	1106 , 1102
bourgades , hugo_claude_gueux--utf8.txt	958
bourgeois , hugo_claude_gueux--utf8.txt	478
bourguignon , dumas_blanche_beaulieu-utf8.txt	287
bourreau , hugo_claude_gueux--utf8.txt	962 , 962 , 1118 , 930
bourreaux , hugo_claude_gueux--utf8.txt	1118
bout , dumas_blanche_beaulieu-utf8.txt	110
bout , hugo_claude_gueux--utf8.txt	114 , 446 , 114 , 130 , 134 , 138 , 114
boutonna , hugo_claude_gueux--utf8.txt	290
boutonnée , hugo_claude_gueux--utf8.txt	290
boutons , hugo_claude_gueux--utf8.txt	1058
bras , hugo_claude_gueux--utf8.txt	822 , 750
bref , hugo_claude_gueux--utf8.txt	114
bressier , hugo_claude_gueux--utf8.txt	478
bretons , dumas_blanche_beaulieu-utf8.txt	209
bride , hugo_claude_gueux--utf8.txt	114
briquet , hugo_claude_gueux--utf8.txt	118
briquets , hugo_claude_gueux--utf8.txt	122
brisa , hugo_claude_gueux--utf8.txt	418
brisât , dumas_blanche_beaulieu-utf8.txt	193
brisée , hugo_claude_gueux--utf8.txt	946
broussaille , hugo_claude_gueux--utf8.txt	114
bruit , dumas_blanche_beaulieu-utf8.txt	73
bruit , hugo_claude_gueux--utf8.txt	970 , 418 , 418
brusquement , hugo_claude_gueux--utf8.txt	166 , 678
brûlezlui , dumas_blanche_beaulieu-utf8.txt	57
budget , hugo_claude_gueux--utf8.txt	1030 , 1034
bureaux , hugo_claude_gueux--utf8.txt	57
bâillait , hugo_claude_gueux--utf8.txt	522
bêtise , hugo_claude_gueux--utf8.txt	114
cabane , dumas_blanche_beaulieu-utf8.txt	32
cabane , hugo_claude_gueux--utf8.txt	1174
cabanon , hugo_claude_gueux--utf8.txt	94
cacha , hugo_claude_gueux--utf8.txt	510
cachait , hugo_claude_gueux--utf8.txt	522
cachot , hugo_claude_gueux--utf8.txt	934 , 458 , 438 , 718 , 910 , 854 , 914 , 102 , 442 , 566
cachée , hugo_claude_gueux--utf8.txt	674
