affaire,camus-la-peste-utf8.txt	2703,1019,2703,244,959,2221,612,859,1765,2138,1173,2683
affaire,edmond_rostand_cyrano-utf8.txt	9786,4023
affaires,camus-la-peste-utf8.txt	2393,34,1223,1533,2882,1077,30,905,1593,1949,1669,1577,506
affaissé,camus-la-peste-utf8.txt	1559,2425
affalés,camus-la-peste-utf8.txt	2599
affamé,edmond_rostand_cyrano-utf8.txt	16635,16227
affectation,edmond_rostand_cyrano-utf8.txt	10974
affection,camus-la-peste-utf8.txt	2679,2679
affectueux,camus-la-peste-utf8.txt	2689
affecté,camus-la-peste-utf8.txt	1485
affichaient,camus-la-peste-utf8.txt	1239
affiche,camus-la-peste-utf8.txt	646
affiches,camus-la-peste-utf8.txt	1185,722,1175,646
affiches,edmond_rostand_cyrano-utf8.txt	297
affiché,camus-la-peste-utf8.txt	907
affinités,camus-la-peste-utf8.txt	1557
affirmaient,camus-la-peste-utf8.txt	2876,3140
affirmait,camus-la-peste-utf8.txt	564,1217
affirmant,camus-la-peste-utf8.txt	2527
affirmation,camus-la-peste-utf8.txt	921
affirmer,camus-la-peste-utf8.txt	2523,2525
affirmé,camus-la-peste-utf8.txt	2187,977
afflua,camus-la-peste-utf8.txt	2197
affolement,camus-la-peste-utf8.txt	2183
affolé,edmond_rostand_cyrano-utf8.txt	5407
affolée,edmond_rostand_cyrano-utf8.txt	20904
affolées,camus-la-peste-utf8.txt	2092
affreuse,camus-la-peste-utf8.txt	3140
affreux,edmond_rostand_cyrano-utf8.txt	15957,22316,14594,20560,20568
affront,edmond_rostand_cyrano-utf8.txt	3987
afin,camus-la-peste-utf8.txt	1181,1955,426,1075,2585,194,2116
afin,dumas_blanche_beaulieu-utf8.txt	194,250
afin,edmond_rostand_cyrano-utf8.txt	17176,5294
africaine,camus-la-peste-utf8.txt	1053
agacé,edmond_rostand_cyrano-utf8.txt	3367
agacés,camus-la-peste-utf8.txt	897
agaçante,camus-la-peste-utf8.txt	162
agenouillée,edmond_rostand_cyrano-utf8.txt	21002
agenouillées,camus-la-peste-utf8.txt	1771
agent,camus-la-peste-utf8.txt	3176,3188
agents,camus-la-peste-utf8.txt	3182,3188,3168,3188,3188
aggravation,camus-la-peste-utf8.txt	2163
agile,edmond_rostand_cyrano-utf8.txt	4287
agir,camus-la-peste-utf8.txt	863,2207,560,642
agir,dumas_blanche_beaulieu-utf8.txt	138
agissaient,camus-la-peste-utf8.txt	2082
agita,camus-la-peste-utf8.txt	2419
agitait,camus-la-peste-utf8.txt	1119,2108,2173,1509
agitant,camus-la-peste-utf8.txt	3182
agitation,camus-la-peste-utf8.txt	2888,2431,3186,1191,2523,1817,2853,2888
agitations,camus-la-peste-utf8.txt	2148
agite,edmond_rostand_cyrano-utf8.txt	17312
agiter,dumas_blanche_beaulieu-utf8.txt	61
agitez,camus-la-peste-utf8.txt	458
agité,camus-la-peste-utf8.txt	2938,3172,1071,2914,957,2920
agonies,camus-la-peste-utf8.txt	1231
agonisants,camus-la-peste-utf8.txt	1077
agressif,edmond_rostand_cyrano-utf8.txt	3851
agression,edmond_rostand_cyrano-utf8.txt	17412
agrippa,camus-la-peste-utf8.txt	788
agrippine,edmond_rostand_cyrano-utf8.txt	9094
agrumes,camus-la-peste-utf8.txt	1169
agréable,camus-la-peste-utf8.txt	34,1201
ah,camus-la-peste-utf8.txt	2313,2801,2801,1571,2811,1599,2241,1617,1555,2831,1655,2845,158,394,2365,1531,714,2185,2457,2475,350,3210,338,80,1199,2171,1017,1467,1865,1903,60,566,1933,296,290,1987,1213,548,544,1367,951,2051,2930,2976,1219,925
ah,dumas_blanche_beaulieu-utf8.txt	223,241
ah,edmond_rostand_cyrano-utf8.txt	4798,23120,4045,13256,10313,13582,13722,13922,3845,14275,9970,5214,14594,14908,24103,9770,24125,15076,12316,23496,3265,3215,23547,5320,6218,3103,3103,3071,5377,16021,5395,23599,16103,2965,5411,5459,12177,23625,5508,9423,12127,16777,9387,16911,16911,23717,10889,17054,2574,4375,17120,17138,9196,9196,9196,17360,17402,17452,17490,12023,12023,12023,2324,2298,17865,17987,18001,2214,18033,18313,18399,2054,8938,8938,1953,10924,18856,19179,19197,1783,1745,19561,19597,19700,1683,19776,19824,19864,1613,19954,8426,11725,5882,20263,11675,6498,11657,20552,11641,20668,1297,20796,1133,8133,7897,927,7881,7863,7845,7827,7811,7795,7779,21634,874,858,828,21821,774,21983,7478,22121,22235,22344,22398,22445,22457,22548,22594,22758,22802,11306,22932
ahuri,edmond_rostand_cyrano-utf8.txt	3477
ahurie,edmond_rostand_cyrano-utf8.txt	15620
ai,camus-la-peste-utf8.txt	2499,670,2033,364,2968,444,396,1023,444,3222,1153,1541,364,384,3004,392
ai,dumas_blanche_beaulieu-utf8.txt	271
ai,edmond_rostand_cyrano-utf8.txt	13608,11402
aidant,camus-la-peste-utf8.txt	1057,1095,931
aide,camus-la-peste-utf8.txt	2303,953
aider,camus-la-peste-utf8.txt	1701,2765,2639
aideraient,camus-la-peste-utf8.txt	1193
aides,camus-la-peste-utf8.txt	2589
aidèrent,camus-la-peste-utf8.txt	1457
aidé,camus-la-peste-utf8.txt	432,2163,1315,680
aidé,edmond_rostand_cyrano-utf8.txt	21242
aidée,edmond_rostand_cyrano-utf8.txt	18796
aient,camus-la-peste-utf8.txt	3148,2098,3158
aigle,edmond_rostand_cyrano-utf8.txt	6817
aigre,edmond_rostand_cyrano-utf8.txt	784
aigrelets,edmond_rostand_cyrano-utf8.txt	7629
aigu,camus-la-peste-utf8.txt	3128,2591
aigu,edmond_rostand_cyrano-utf8.txt	16823
aiguillage,camus-la-peste-utf8.txt	2637
aiguille,camus-la-peste-utf8.txt	3026
aiguille,edmond_rostand_cyrano-utf8.txt	18454
aiguilles,camus-la-peste-utf8.txt	2597,3030
aigus,camus-la-peste-utf8.txt	2303
aiguë,camus-la-peste-utf8.txt	1155,1233
aije,camus-la-peste-utf8.txt	967,366
aije,edmond_rostand_cyrano-utf8.txt	5244,3371,5246
aile,edmond_rostand_cyrano-utf8.txt	18946,5957
aille,camus-la-peste-utf8.txt	2439
aille,edmond_rostand_cyrano-utf8.txt	2645,18389,8249
aillent,edmond_rostand_cyrano-utf8.txt	23753
ailles,camus-la-peste-utf8.txt	3102
ailleurs,camus-la-peste-utf8.txt	32,2593,1263,2319,2122,1195,558,482,566,2749
aima,edmond_rostand_cyrano-utf8.txt	23298
aimable,camus-la-peste-utf8.txt	921,690,586,116
aimaient,camus-la-peste-utf8.txt	2884
aimais,edmond_rostand_cyrano-utf8.txt	23488,23440,17498
aimait,camus-la-peste-utf8.txt	3130,760,1185,566,566,1185,2912
aimait,edmond_rostand_cyrano-utf8.txt	11066,5738
aime,camus-la-peste-utf8.txt	1185,885,2357,931,30,2033,34
aime,edmond_rostand_cyrano-utf8.txt	15430,8249,13644,13674,20908,23787,6923,12628,20159,20125,7007,8269
aiment,camus-la-peste-utf8.txt	30,2611
aimer,camus-la-peste-utf8.txt	1515,2187,1071,2339,1327,2467,2749
aimer,edmond_rostand_cyrano-utf8.txt	9515,19938,14123
aimez,camus-la-peste-utf8.txt	1361,2104
aimez,edmond_rostand_cyrano-utf8.txt	17520,7478,12161,3113
aimezvous,edmond_rostand_cyrano-utf8.txt	7456,3867
aimions,camus-la-peste-utf8.txt	2521
aimâmes,edmond_rostand_cyrano-utf8.txt	1067
